name,antaal,area,date,lat,lng,species,nl_naam
Luigi,58,P,5/11/2024,4.780683,52.3895,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,29,P,6/13/2024,4.775438,52.390332,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,35,P,5/21/2024,4.789144,52.38952,Pipistrellus pipistrellus,gewone dwergvleermuis
Sander/Luigi,20,P,6/26/2024,4.781452,52.395447,Pipistrellus pipistrellus,gewone dwergvleermuis
Sander,40,R,7/3/2024,4.770008,52.392493,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,12,H,5/27/2024,4.828028,52.383978,Pipistrellus pipistrellus,gewone dwergvleermuis
Tobias,30,H,5/27/2024,4.828365,52.384119,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,19,N,5/28/2024,4.803751,52.361829,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,18,N,6/25/2024,4.801098,52.364347,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,43,N,6/26/2024,4.809273,52.355123,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,52,N,6/26/2024,4.804863,52.355044,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,20,N,7/6/2024,4.809146,52.351419,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,15,N,7/6/2024,4.816413,52.352734,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,26,B,6/7/2024,4.822685,52.352154,Pipistrellus pipistrellus,gewone dwergvleermuis
Tobias,40,B,6/21/2024,4.822829,52.352167,Pipistrellus pipistrellus,gewone dwergvleermuis
Tobias,16,B,6/21/2024,4.827083,52.353252,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,88,M,6/2/2024,4.788379,52.362206,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,51,M,6/15/2024,4.79067,52.361606,Pipistrellus pipistrellus,gewone dwergvleermuis
Sander,30,M,6/2/2024,4.79478,52.352107,Pipistrellus pipistrellus,gewone dwergvleermuis
Tobias,24,L,6/18/2024,4.784478,52.359555,Pipistrellus pipistrellus,gewone dwergvleermuis
Sander,5,L,5/7/2024,4.785411,52.354923,Pipistrellus pipistrellus,gewone dwergvleermuis
Tobias,10,L,7/4/2024,4.786927,52.355169,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,112,L,6/20/2024,4.787045,52.355269,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,91,O,5/31/2024,4.781801,52.35213,Pipistrellus pipistrellus,gewone dwergvleermuis
Tobias,20,O,6/24/2024,4.781506,52.352133,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,15,O,6/25/2024,4.775285,52.353933,Pipistrellus pipistrellus,gewone dwergvleermuis
Tobias,21,O,6/24/2024,4.770348,52.352209,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,17,O,6/23/2024,4.773406,52.349891,Pipistrellus pipistrellus,gewone dwergvleermuis
Alko,18,O,7/5/2024,4.790864,52.346804,Pipistrellus pipistrellus,gewone dwergvleermuis
